omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
PROVIDER,provider_id,Yes,integer,,,,
PROVIDER,provider_name,No,varchar(50),,,,
PROVIDER,npi,No,varchar(20),,,,
PROVIDER,dea,No,varchar(20),,,,
PROVIDER,specialty_concept_id,No,integer,,,,
PROVIDER,care_site_id,No,integer,,,,
PROVIDER,year_of_birth,No,integer,,,,
PROVIDER,gender_concept_id,No,integer,,,,
PROVIDER,provider_source_value,No,varchar(50),,,,
PROVIDER,specialty_source_value,No,varchar(50),,,,
PROVIDER,specialty_source_concept_id,No,integer,,,,
PROVIDER,gender_source_value,No,varchar(50),,,,
PROVIDER,gender_source_concept_id,No,integer,,,,
